OrderID,CustomerName,OrderDate,Region,Category,Quantity,UnitPrice,Sales
ORD-169,Anonymous Customer,2026-05-04,South,Electronics,10.0,15.0,150.0
ORD-171,Anonymous Customer,2026-05-04,South,Electronics,2.0,120.0,240.0
ORD-183,Michael-Brown,2026-05-04,West,Office Supplies,3.0,15.0,45.0
ORD-200,Robert Lee,2026-05-04,North,Office Supplies,1.0,15.0,15.0
ORD-002,Robert Lee,2026-05-05,West,Office Supplies,2.0,120.0,240.0
ORD-006,Michael-Brown,2026-05-05,West,Office Supplies,1.0,15.0,15.0
ORD-012,Michael-Brown,2026-05-05,East,Office Supplies,2.0,15.0,30.0
ORD-020,Anonymous Customer,2026-05-05,West,Office Supplies,1.0,25.5,25.5
ORD-022,Michael-Brown,2026-05-05,South,Electronics,5.0,120.0,600.0
ORD-025,Anonymous Customer,2026-05-05,West,Electronics,2.0,15.0,30.0
ORD-063,Linda K,2026-05-05,East,Office Supplies,2.0,25.5,51.0
ORD-068,Anonymous Customer,2026-05-05,East,Office Supplies,2.0,25.5,51.0
ORD-070,John Smith,2026-05-05,South,Electronics,2.0,120.0,240.0
ORD-073,Linda K,2026-05-05,West,Electronics,1.0,10.0,10.0
ORD-080,Sarah O'Connor,2026-05-05,East,Furniture,3.0,120.0,360.0
ORD-084,Robert Lee,2026-05-05,East,Electronics,2.0,15.0,30.0
ORD-090,Mary Jane,2026-05-05,West,Furniture,1.0,450.0,450.0
ORD-092,Linda K,2026-05-05,North,Electronics,2.0,15.0,30.0
ORD-105,Sarah O'Connor,2026-05-05,East,Office Supplies,1.0,120.0,120.0
ORD-106,Linda K,2026-05-05,North,Office Supplies,2.0,120.0,240.0
ORD-132,Anonymous Customer,2026-05-05,East,Office Supplies,2.0,10.0,20.0
ORD-138,Anonymous Customer,2026-05-05,West,Electronics,1.0,15.0,15.0
ORD-179,Mary Jane,2026-05-05,West,Office Supplies,1.0,15.0,15.0
ORD-181,Michael-Brown,2026-05-05,East,Electronics,1.0,25.5,25.5
ORD-003,Mary Jane,2026-05-06,East,Furniture,1.0,80.0,80.0
ORD-009,Anonymous Customer,2026-05-06,West,Electronics,1.0,25.5,25.5
ORD-031,Sarah O'Connor,2026-05-06,East,Office Supplies,2.0,15.0,30.0
ORD-038,Robert Lee,2026-05-06,West,Office Supplies,3.0,25.5,76.5
ORD-043,Sarah O'Connor,2026-05-06,West,Electronics,1.0,15.0,15.0
ORD-064,Anonymous Customer,2026-05-06,West,Furniture,1.0,15.0,15.0
ORD-095,Michael-Brown,2026-05-06,East,Furniture,1.0,15.0,15.0
ORD-098,Linda K,2026-05-06,East,Electronics,4.0,150.0,600.0
ORD-101,Michael-Brown,2026-05-06,North,Furniture,1.0,25.5,25.5
ORD-114,Mary Jane,2026-05-06,West,Electronics,1.0,15.0,15.0
ORD-116,John Smith,2026-05-06,North,Electronics,1.0,450.0,450.0
ORD-125,Mary Jane,2026-05-06,West,Office Supplies,2.0,15.0,30.0
ORD-149,Mary Jane,2026-05-06,East,Office Supplies,1.0,25.5,25.5
ORD-159,Michael-Brown,2026-05-06,North,Electronics,1.0,15.0,15.0
ORD-173,Sarah O'Connor,2026-05-06,South,Furniture,3.0,15.0,45.0
ORD-174,Robert Lee,2026-05-06,West,Electronics,3.0,15.0,45.0
ORD-191,Michael-Brown,2026-05-06,South,Office Supplies,1.0,450.0,450.0
ORD-193,Linda K,2026-05-06,East,Furniture,1.0,15.0,15.0
ORD-011,Linda K,2026-05-07,East,Office Supplies,2.0,15.0,30.0
ORD-016,Mary Jane,2026-05-07,East,Office Supplies,1.0,15.0,15.0
ORD-018,John Smith,2026-05-07,South,Electronics,3.0,25.5,76.5
ORD-021,Sarah O'Connor,2026-05-07,South,Office Supplies,1.0,15.0,15.0
ORD-027,Sarah O'Connor,2026-05-07,West,Office Supplies,1.0,15.0,15.0
ORD-037,Michael-Brown,2026-05-07,East,Electronics,1.0,15.0,15.0
ORD-053,Michael-Brown,2026-05-07,West,Electronics,2.0,120.0,240.0
ORD-083,John Smith,2026-05-07,South,Office Supplies,1.0,15.0,15.0
ORD-127,Anonymous Customer,2026-05-07,North,Electronics,1.0,15.0,15.0
ORD-140,Mary Jane,2026-05-07,East,Office Supplies,3.0,450.0,1350.0
ORD-153,John Smith,2026-05-07,South,Electronics,1.0,15.0,15.0
ORD-158,Anonymous Customer,2026-05-07,East,Electronics,1.0,15.0,15.0
ORD-170,Linda K,2026-05-07,East,Electronics,2.0,120.0,240.0
ORD-176,Mary Jane,2026-05-07,South,Electronics,1.0,25.5,25.5
ORD-199,Mary Jane,2026-05-07,South,Electronics,1.0,15.0,15.0
ORD-004,Mary Jane,2026-05-09,South,Furniture,1.0,25.5,25.5
ORD-007,Anonymous Customer,2026-05-09,East,Electronics,1.0,15.0,15.0
ORD-024,John Smith,2026-05-09,East,Electronics,4.0,450.0,1800.0
ORD-047,Anonymous Customer,2026-05-09,West,Furniture,1.0,15.0,15.0
ORD-062,Anonymous Customer,2026-05-09,South,Office Supplies,2.0,15.0,30.0
ORD-074,John Smith,2026-05-09,South,Furniture,2.0,25.5,51.0
ORD-078,John Smith,2026-05-09,West,Furniture,4.0,15.0,60.0
ORD-088,Sarah O'Connor,2026-05-09,West,Office Supplies,3.0,25.5,76.5
ORD-099,Michael-Brown,2026-05-09,East,Office Supplies,1.0,120.0,120.0
ORD-154,Sarah O'Connor,2026-05-09,South,Office Supplies,1.0,15.0,15.0
ORD-155,Linda K,2026-05-09,South,Office Supplies,3.0,15.0,45.0
ORD-178,Michael-Brown,2026-05-09,East,Furniture,1.0,25.5,25.5
ORD-186,Michael-Brown,2026-05-09,West,Electronics,3.0,15.0,45.0
ORD-001,Linda K,2026-08-05,West,Furniture,2.0,15.0,30.0
ORD-008,Sarah O'Connor,2026-08-05,North,Furniture,1.0,450.0,450.0
ORD-026,Robert Lee,2026-08-05,South,Office Supplies,3.0,15.0,45.0
ORD-030,Linda K,2026-08-05,West,Office Supplies,1.0,120.0,120.0
ORD-034,Anonymous Customer,2026-08-05,North,Electronics,1.0,15.0,15.0
ORD-039,Anonymous Customer,2026-08-05,West,Office Supplies,2.0,15.0,30.0
ORD-042,Sarah O'Connor,2026-08-05,East,Office Supplies,4.0,25.5,102.0
ORD-044,Michael-Brown,2026-08-05,West,Office Supplies,2.0,120.0,240.0
ORD-057,Sarah O'Connor,2026-08-05,South,Electronics,3.0,15.0,45.0
ORD-093,Robert Lee,2026-08-05,West,Electronics,1.0,15.0,15.0
ORD-112,Robert Lee,2026-08-05,South,Office Supplies,1.0,25.5,25.5
ORD-118,Linda K,2026-08-05,North,Office Supplies,1.0,25.5,25.5
ORD-129,Anonymous Customer,2026-08-05,East,Office Supplies,3.0,120.0,360.0
ORD-135,John Smith,2026-08-05,West,Office Supplies,2.0,120.0,240.0
ORD-142,Anonymous Customer,2026-08-05,South,Office Supplies,2.0,15.0,30.0
ORD-150,Sarah O'Connor,2026-08-05,East,Furniture,2.0,25.5,51.0
ORD-167,Robert Lee,2026-08-05,East,Office Supplies,1.0,120.0,120.0
ORD-168,John Smith,2026-08-05,West,Office Supplies,1.0,15.0,15.0
ORD-184,Mary Jane,2026-08-05,North,Office Supplies,10.0,120.0,1200.0
ORD-187,John Smith,2026-08-05,East,Electronics,1.0,15.0,15.0
ORD-190,Linda K,2026-08-05,West,Office Supplies,3.0,25.5,76.5
ORD-194,John Smith,2026-08-05,West,Office Supplies,1.0,10.0,10.0
ORD-197,Linda K,2026-08-05,West,Office Supplies,2.0,120.0,240.0
ORD-015,Michael-Brown,2026-10-05,East,Office Supplies,1.0,450.0,450.0
ORD-023,Anonymous Customer,2026-10-05,South,Electronics,1.0,15.0,15.0
ORD-035,Linda K,2026-10-05,North,Office Supplies,1.0,25.5,25.5
ORD-051,Robert Lee,2026-10-05,East,Electronics,3.0,25.5,76.5
ORD-052,Anonymous Customer,2026-10-05,North,Furniture,4.0,120.0,480.0
ORD-059,Anonymous Customer,2026-10-05,South,Electronics,1.0,120.0,120.0
ORD-060,Sarah O'Connor,2026-10-05,East,Office Supplies,1.0,15.0,15.0
ORD-072,Mary Jane,2026-10-05,East,Furniture,2.0,15.0,30.0
ORD-081,Michael-Brown,2026-10-05,South,Electronics,1.0,25.5,25.5
ORD-094,Mary Jane,2026-10-05,West,Furniture,1.0,15.0,15.0
ORD-097,Linda K,2026-10-05,East,Electronics,10.0,450.0,4500.0
ORD-104,Anonymous Customer,2026-10-05,North,Electronics,2.0,120.0,240.0
ORD-109,Sarah O'Connor,2026-10-05,South,Office Supplies,5.0,10.0,50.0
ORD-119,Anonymous Customer,2026-10-05,East,Furniture,1.0,15.0,15.0
ORD-121,John Smith,2026-10-05,North,Furniture,2.0,120.0,240.0
ORD-124,John Smith,2026-10-05,West,Electronics,1.0,15.0,15.0
ORD-139,Michael-Brown,2026-10-05,West,Electronics,1.0,15.0,15.0
ORD-143,Linda K,2026-10-05,West,Office Supplies,1.0,120.0,120.0
ORD-148,Robert Lee,2026-10-05,West,Furniture,1.0,15.0,15.0
ORD-152,Linda K,2026-10-05,East,Electronics,1.0,15.0,15.0
ORD-165,Linda K,2026-10-05,West,Office Supplies,1.0,25.5,25.5
ORD-172,Michael-Brown,2026-10-05,West,Electronics,4.0,15.0,60.0
ORD-192,Robert Lee,2026-10-05,East,Electronics,1.0,120.0,120.0
ORD-198,Mary Jane,2026-10-05,East,Office Supplies,5.0,25.5,127.5
